datetime_gmt,generation_mw,lcl_mw,ucl_mw,installedcapacity_mwp,capacity_mwp
2024-04-18T15:30:00Z,3508.04,3380.27,3635.81,16445.201,15430.445
2024-04-18T15:00:00Z,4253.15,4117.64,4388.65,16445.201,15430.445
2024-04-18T14:30:00Z,4993.39,4847.18,5139.59,16445.201,15430.446
2024-04-18T14:00:00Z,5664.35,5508.08,5820.61,16445.201,15430.446
2024-04-18T13:30:00Z,6227.09,6061.42,6392.76,16445.201,15430.446
2024-04-18T13:00:00Z,6765.65,6593.96,6937.34,16445.201,15430.446
2024-04-18T12:30:00Z,7274.14,7099.43,7448.84,16445.201,15430.446
2024-04-18T12:00:00Z,7665.82,7490.59,7841.05,16445.201,15430.446
2024-04-18T11:30:00Z,7805.18,7627.62,7982.74,16445.201,15430.446
2024-04-18T11:00:00Z,7734.12,7564.37,7903.88,16445.201,15430.446
2024-04-18T10:30:00Z,7351.41,7188.81,7514.01,16445.201,15430.446
2024-04-18T10:00:00Z,6878.72,6713.66,7043.79,16445.201,15430.446
2024-04-18T09:30:00Z,6333.04,6177.63,6488.45,16445.201,15430.446
2024-04-18T09:00:00Z,5809,5651.81,5966.19,16445.201,15430.446
2024-04-18T08:30:00Z,4949.04,4801.53,5096.56,16445.201,15430.446
2024-04-18T08:00:00Z,4131.74,3995.97,4267.52,16445.201,15430.446
2024-04-18T07:30:00Z,3047.79,2927.47,3168.1,16445.201,15430.446
2024-04-18T07:00:00Z,2071.82,1977.77,2165.87,16445.201,15430.446
2024-04-18T06:30:00Z,1246.89,1183.35,1310.43,16445.201,15430.446
2024-04-18T06:00:00Z,521.314,491.027,551.602,16445.201,15430.447
2024-04-18T05:30:00Z,44.104,40.5643,47.6438,16445.201,15430.447
2024-04-18T05:00:00Z,0,0,0,16445.201,15430.447
2024-04-18T04:30:00Z,0,0,0,16445.201,15430.447
2024-04-18T04:00:00Z,0,0,0,16445.201,15430.447
2024-04-18T03:30:00Z,0,0,0,16445.201,15430.447
2024-04-18T03:00:00Z,0,0,0,16445.201,15430.447
2024-04-18T02:30:00Z,0,0,0,16445.201,15430.447
2024-04-18T02:00:00Z,0,0,0,16445.201,15430.447
2024-04-18T01:30:00Z,0,0,0,16445.201,15430.447
2024-04-18T01:00:00Z,0,0,0,16445.201,15430.447
2024-04-18T00:30:00Z,0,0,0,16445.201,15430.447
