generation_mw,lcl_mw,ucl_mw,installedcapacity_mwp,capacity_mwp,time,date
3508.04,3380.27,3635.81,16445.201,15430.445,153000,20240418
4253.15,4117.64,4388.65,16445.201,15430.445,150000,20240418
4993.39,4847.18,5139.59,16445.201,15430.446,143000,20240418
5664.35,5508.08,5820.61,16445.201,15430.446,140000,20240418
6227.09,6061.42,6392.76,16445.201,15430.446,133000,20240418
6765.65,6593.96,6937.34,16445.201,15430.446,130000,20240418
7274.14,7099.43,7448.84,16445.201,15430.446,123000,20240418
7665.82,7490.59,7841.05,16445.201,15430.446,120000,20240418
7805.18,7627.62,7982.74,16445.201,15430.446,113000,20240418
7734.12,7564.37,7903.88,16445.201,15430.446,110000,20240418
7351.41,7188.81,7514.01,16445.201,15430.446,103000,20240418
6878.72,6713.66,7043.79,16445.201,15430.446,100000,20240418
6333.04,6177.63,6488.45,16445.201,15430.446,093000,20240418
5809.0,5651.81,5966.19,16445.201,15430.446,090000,20240418
4949.04,4801.53,5096.56,16445.201,15430.446,083000,20240418
4131.74,3995.97,4267.52,16445.201,15430.446,080000,20240418
3047.79,2927.47,3168.1,16445.201,15430.446,073000,20240418
2071.82,1977.77,2165.87,16445.201,15430.446,070000,20240418
1246.89,1183.35,1310.43,16445.201,15430.446,063000,20240418
521.314,491.027,551.602,16445.201,15430.447,060000,20240418
44.104,40.5643,47.6438,16445.201,15430.447,053000,20240418
0.0,0.0,0.0,16445.201,15430.447,050000,20240418
0.0,0.0,0.0,16445.201,15430.447,043000,20240418
0.0,0.0,0.0,16445.201,15430.447,040000,20240418
0.0,0.0,0.0,16445.201,15430.447,033000,20240418
0.0,0.0,0.0,16445.201,15430.447,030000,20240418
0.0,0.0,0.0,16445.201,15430.447,023000,20240418
0.0,0.0,0.0,16445.201,15430.447,020000,20240418
0.0,0.0,0.0,16445.201,15430.447,013000,20240418
0.0,0.0,0.0,16445.201,15430.447,010000,20240418
0.0,0.0,0.0,16445.201,15430.447,003000,20240418
0.0,0.0,0.0,16445.201,15430.447,000000,20240418
0.0,0.0,0.0,16445.201,15430.805,233000,20240417
0.0,0.0,0.0,16445.201,15430.805,230000,20240417
0.0,0.0,0.0,16445.201,15430.805,223000,20240417
0.0,0.0,0.0,16445.201,15430.805,220000,20240417
0.0,0.0,0.0,16445.201,15430.805,213000,20240417
0.0,0.0,0.0,16445.201,15430.805,210000,20240417
0.0,0.0,0.0,16445.201,15430.805,203000,20240417
0.0,0.0,0.0,16445.201,15430.805,200000,20240417
0.0812799,0.0680233,0.0945365,16445.201,15430.805,193000,20240417
114.227,111.763,116.691,16445.201,15430.805,190000,20240417
554.085,543.546,564.624,16445.201,15430.805,183000,20240417
1279.84,1257.94,1301.75,16445.201,15430.805,180000,20240417
1892.1,1863.39,1920.8,16445.201,15430.805,173000,20240417
2430.47,2395.74,2465.19,16445.201,15430.805,170000,20240417
3462.74,3423.91,3501.57,16445.201,15430.805,163000,20240417
4170.79,4130.17,4211.41,16445.201,15430.806,160000,20240417
4385.84,4344.16,4427.52,16445.201,15430.806,153000,20240417
4555.01,4508.04,4601.98,16445.201,15430.806,150000,20240417
5761.79,5715.92,5807.65,16445.201,15430.806,143000,20240417
6672.39,6625.98,6718.8,16445.201,15430.806,140000,20240417
6955.8,6909.22,7002.37,16445.201,15430.806,133000,20240417
7449.86,7407.45,7492.27,16445.201,15430.806,130000,20240417
7391.76,7349.55,7433.96,16445.201,15430.806,123000,20240417
7521.08,7478.01,7564.16,16445.201,15430.806,120000,20240417
7779.01,7734.98,7823.04,16445.201,15430.806,113000,20240417
7651.32,7608.51,7694.13,16445.201,15430.806,110000,20240417
7489.96,7442.66,7537.25,16445.201,15430.806,103000,20240417
7095.38,7047.18,7143.58,16445.201,15430.806,100000,20240417
6527.73,6479.16,6576.29,16445.201,15430.806,093000,20240417
5537.41,5489.56,5585.27,16445.201,15430.806,090000,20240417
4948.47,4899.58,4997.35,16445.201,15430.806,083000,20240417
4027.67,3981.17,4074.18,16445.201,15430.806,080000,20240417
3135.99,3093.54,3178.44,16445.201,15430.807,073000,20240417
2225.33,2191.16,2259.5,16445.201,15430.807,070000,20240417
1233.58,1211.91,1255.24,16445.201,15430.807,063000,20240417
419.443,411.064,427.822,16445.201,15430.807,060000,20240417
30.5564,29.6528,31.4599,16445.201,15430.807,053000,20240417
0.0,0.0,0.0,16445.201,15430.807,050000,20240417
0.0,0.0,0.0,16445.201,15430.807,043000,20240417
0.0,0.0,0.0,16445.201,15430.807,040000,20240417
0.0,0.0,0.0,16445.201,15430.807,033000,20240417
0.0,0.0,0.0,16445.201,15430.807,030000,20240417
0.0,0.0,0.0,16445.201,15430.807,023000,20240417
0.0,0.0,0.0,16445.201,15430.807,020000,20240417
0.0,0.0,0.0,16445.201,15430.807,013000,20240417
0.0,0.0,0.0,16445.201,15430.807,010000,20240417
0.0,0.0,0.0,16445.201,15430.807,003000,20240417
0.0,0.0,0.0,16445.201,15430.807,000000,20240417
